,Date,GHI
920,2022-01-22,4.458325
921,2022-01-23,4.231091667
922,2022-01-24,3.60555
923,2022-01-25,3.376491667
924,2022-01-26,4.305258333
925,2022-01-27,5.072183333
926,2022-01-28,4.640791667
927,2022-01-29,4.220491667
928,2022-01-30,3.830216667
929,2022-01-31,5.159383333
930,2022-02-01,5.045475
931,2022-02-02,5.312308333
932,2022-02-03,4.893833333
933,2022-02-04,5.666016667
934,2022-02-05,5.260066667
935,2022-02-06,4.804358333
936,2022-02-07,4.666641667
937,2022-02-08,4.104
938,2022-02-09,5.32515
939,2022-02-10,5.388183333
940,2022-02-11,4.062983333
941,2022-02-12,5.237983333
942,2022-02-13,3.7119
943,2022-02-14,4.431283333
944,2022-02-15,4.990216667
945,2022-02-16,4.149233333
946,2022-02-17,4.318383333
947,2022-02-18,5.188325
948,2022-02-19,4.450266667
949,2022-02-20,4.419858333
